"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20828.6","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20843.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20670.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20768.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2091072","1.3.1.1","20758.0","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2598.2","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2615.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2552.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2574.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v2091073","1.3.1.2","2575.3","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18230.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18227.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18117.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18194.2","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2091074","1.3.1.3","18182.7","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","25 to 44 years","Persons in thousands","428","thousands","3","v2091075","1.3.1.4","9765.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","25 to 44 years","Persons in thousands","428","thousands","3","v2091075","1.3.1.4","9768.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","25 to 44 years","Persons in thousands","428","thousands","3","v2091075","1.3.1.4","9699.5","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","25 to 44 years","Persons in thousands","428","thousands","3","v2091075","1.3.1.4","9764.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","25 to 44 years","Persons in thousands","428","thousands","3","v2091075","1.3.1.4","9760.3","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","45 to 64 years","Persons in thousands","428","thousands","3","v19650588","1.3.1.22","7378.8","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","45 to 64 years","Persons in thousands","428","thousands","3","v19650588","1.3.1.22","7342.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","45 to 64 years","Persons in thousands","428","thousands","3","v19650588","1.3.1.22","7337.0","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","45 to 64 years","Persons in thousands","428","thousands","3","v19650588","1.3.1.22","7328.1","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","45 to 64 years","Persons in thousands","428","thousands","3","v19650588","1.3.1.22","7312.9","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","45 years and over","Persons in thousands","428","thousands","3","v2091076","1.3.1.5","8464.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","45 years and over","Persons in thousands","428","thousands","3","v2091076","1.3.1.5","8459.9","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","45 years and over","Persons in thousands","428","thousands","3","v2091076","1.3.1.5","8418.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","45 years and over","Persons in thousands","428","thousands","3","v2091076","1.3.1.5","8429.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","45 years and over","Persons in thousands","428","thousands","3","v2091076","1.3.1.5","8422.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v2091077","1.3.1.6","13882.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v2091077","1.3.1.6","13858.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v2091077","1.3.1.6","13807.9","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v2091077","1.3.1.6","13892.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v2091077","1.3.1.6","13867.0","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v2091078","1.3.1.7","4347.8","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v2091078","1.3.1.7","4369.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v2091078","1.3.1.7","4309.9","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v2091078","1.3.1.7","4301.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v2091078","1.3.1.7","4315.7","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 to 64 years","Persons in thousands","428","thousands","3","v2091079","1.3.1.8","19742.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 to 64 years","Persons in thousands","428","thousands","3","v2091079","1.3.1.8","19725.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 to 64 years","Persons in thousands","428","thousands","3","v2091079","1.3.1.8","19588.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 to 64 years","Persons in thousands","428","thousands","3","v2091079","1.3.1.8","19667.1","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 to 64 years","Persons in thousands","428","thousands","3","v2091079","1.3.1.8","19648.4","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","15 to 19 years","Persons in thousands","428","thousands","3","v2091080","1.3.1.9","799.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","15 to 19 years","Persons in thousands","428","thousands","3","v2091080","1.3.1.9","819.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","15 to 19 years","Persons in thousands","428","thousands","3","v2091080","1.3.1.9","799.2","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","15 to 19 years","Persons in thousands","428","thousands","3","v2091080","1.3.1.9","784.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","15 to 19 years","Persons in thousands","428","thousands","3","v2091080","1.3.1.9","788.9","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","20 to 24 years","Persons in thousands","428","thousands","3","v2091081","1.3.1.10","1798.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","20 to 24 years","Persons in thousands","428","thousands","3","v2091081","1.3.1.10","1796.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","20 to 24 years","Persons in thousands","428","thousands","3","v2091081","1.3.1.10","1753.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","20 to 24 years","Persons in thousands","428","thousands","3","v2091081","1.3.1.10","1790.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","20 to 24 years","Persons in thousands","428","thousands","3","v2091081","1.3.1.10","1786.4","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","25 to 29 years","Persons in thousands","428","thousands","3","v2091082","1.3.1.11","2395.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","25 to 29 years","Persons in thousands","428","thousands","3","v2091082","1.3.1.11","2403.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","25 to 29 years","Persons in thousands","428","thousands","3","v2091082","1.3.1.11","2350.2","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","25 to 29 years","Persons in thousands","428","thousands","3","v2091082","1.3.1.11","2368.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","25 to 29 years","Persons in thousands","428","thousands","3","v2091082","1.3.1.11","2360.6","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","30 to 34 years","Persons in thousands","428","thousands","3","v2091083","1.3.1.12","2589.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","30 to 34 years","Persons in thousands","428","thousands","3","v2091083","1.3.1.12","2569.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","30 to 34 years","Persons in thousands","428","thousands","3","v2091083","1.3.1.12","2564.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","30 to 34 years","Persons in thousands","428","thousands","3","v2091083","1.3.1.12","2597.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","30 to 34 years","Persons in thousands","428","thousands","3","v2091083","1.3.1.12","2600.0","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","35 to 39 years","Persons in thousands","428","thousands","3","v2091084","1.3.1.13","2430.2","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","35 to 39 years","Persons in thousands","428","thousands","3","v2091084","1.3.1.13","2458.3","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","35 to 39 years","Persons in thousands","428","thousands","3","v2091084","1.3.1.13","2428.2","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","35 to 39 years","Persons in thousands","428","thousands","3","v2091084","1.3.1.13","2436.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","35 to 39 years","Persons in thousands","428","thousands","3","v2091084","1.3.1.13","2453.3","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","40 to 44 years","Persons in thousands","428","thousands","3","v2091085","1.3.1.14","2350.8","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","40 to 44 years","Persons in thousands","428","thousands","3","v2091085","1.3.1.14","2336.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","40 to 44 years","Persons in thousands","428","thousands","3","v2091085","1.3.1.14","2356.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","40 to 44 years","Persons in thousands","428","thousands","3","v2091085","1.3.1.14","2362.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","40 to 44 years","Persons in thousands","428","thousands","3","v2091085","1.3.1.14","2346.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","45 to 49 years","Persons in thousands","428","thousands","3","v2091086","1.3.1.15","2072.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","45 to 49 years","Persons in thousands","428","thousands","3","v2091086","1.3.1.15","2068.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","45 to 49 years","Persons in thousands","428","thousands","3","v2091086","1.3.1.15","2095.0","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","45 to 49 years","Persons in thousands","428","thousands","3","v2091086","1.3.1.15","2109.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","45 to 49 years","Persons in thousands","428","thousands","3","v2091086","1.3.1.15","2115.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","50 to 54 years","Persons in thousands","428","thousands","3","v2091087","1.3.1.16","2044.9","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","50 to 54 years","Persons in thousands","428","thousands","3","v2091087","1.3.1.16","2021.3","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","50 to 54 years","Persons in thousands","428","thousands","3","v2091087","1.3.1.16","2013.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","50 to 54 years","Persons in thousands","428","thousands","3","v2091087","1.3.1.16","2018.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","50 to 54 years","Persons in thousands","428","thousands","3","v2091087","1.3.1.16","1991.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","55 to 59 years","Persons in thousands","428","thousands","3","v2091088","1.3.1.17","1787.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","55 to 59 years","Persons in thousands","428","thousands","3","v2091088","1.3.1.17","1794.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","55 to 59 years","Persons in thousands","428","thousands","3","v2091088","1.3.1.17","1773.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","55 to 59 years","Persons in thousands","428","thousands","3","v2091088","1.3.1.17","1761.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","55 to 59 years","Persons in thousands","428","thousands","3","v2091088","1.3.1.17","1751.6","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","60 to 64 years","Persons in thousands","428","thousands","3","v2091089","1.3.1.18","1474.8","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","60 to 64 years","Persons in thousands","428","thousands","3","v2091089","1.3.1.18","1457.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","60 to 64 years","Persons in thousands","428","thousands","3","v2091089","1.3.1.18","1455.4","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","60 to 64 years","Persons in thousands","428","thousands","3","v2091089","1.3.1.18","1438.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","60 to 64 years","Persons in thousands","428","thousands","3","v2091089","1.3.1.18","1454.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","65 years and over","Persons in thousands","428","thousands","3","v2091090","1.3.1.19","1085.9","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","65 years and over","Persons in thousands","428","thousands","3","v2091090","1.3.1.19","1117.9","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","65 years and over","Persons in thousands","428","thousands","3","v2091090","1.3.1.19","1081.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","65 years and over","Persons in thousands","428","thousands","3","v2091090","1.3.1.19","1101.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","65 years and over","Persons in thousands","428","thousands","3","v2091090","1.3.1.19","1109.6","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","65 to 69 years","Persons in thousands","428","thousands","3","v2091091","1.3.1.20","678.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","65 to 69 years","Persons in thousands","428","thousands","3","v2091091","1.3.1.20","693.6","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","65 to 69 years","Persons in thousands","428","thousands","3","v2091091","1.3.1.20","662.2","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","65 to 69 years","Persons in thousands","428","thousands","3","v2091091","1.3.1.20","682.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","65 to 69 years","Persons in thousands","428","thousands","3","v2091091","1.3.1.20","691.9","","","","1"
"2024-11","Canada","2021A000011124","Employment","Total - Gender","70 years and over","Persons in thousands","428","thousands","3","v2091092","1.3.1.21","407.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Total - Gender","70 years and over","Persons in thousands","428","thousands","3","v2091092","1.3.1.21","424.3","","","","1"
"2025-01","Canada","2021A000011124","Employment","Total - Gender","70 years and over","Persons in thousands","428","thousands","3","v2091092","1.3.1.21","419.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Total - Gender","70 years and over","Persons in thousands","428","thousands","3","v2091092","1.3.1.21","419.1","","","","1"
"2025-03","Canada","2021A000011124","Employment","Total - Gender","70 years and over","Persons in thousands","428","thousands","3","v2091092","1.3.1.21","417.7","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 years and over","Persons in thousands","428","thousands","3","v2091282","1.3.2.1","10989.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 years and over","Persons in thousands","428","thousands","3","v2091282","1.3.2.1","10978.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 years and over","Persons in thousands","428","thousands","3","v2091282","1.3.2.1","10852.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 years and over","Persons in thousands","428","thousands","3","v2091282","1.3.2.1","10894.8","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 years and over","Persons in thousands","428","thousands","3","v2091282","1.3.2.1","10868.8","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v2091283","1.3.2.2","1325.9","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v2091283","1.3.2.2","1332.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v2091283","1.3.2.2","1299.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v2091283","1.3.2.2","1318.3","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v2091283","1.3.2.2","1308.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9663.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9646.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9552.4","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9576.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9560.6","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5154.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5154.9","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5104.7","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5124.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5117.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3862.3","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3824.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3799.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3796.3","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3789.9","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4509.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4491.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4447.7","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4452.1","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4443.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7275.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7255.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7203.0","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7240.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7225.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2388.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2390.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2349.4","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2336.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2335.4","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10342.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10311.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10203.6","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10239.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10215.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","387.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","398.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","384.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","377.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","377.8","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","938.2","","","","1"
